epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.7027,1.97402,10.6328,2.99823,0.00476,0.95503,0.3363,0.30637,1.18457,15.9642,2.50078,0.0001375,0.0001375,0.0001375
2,153.374,1.66912,8.97014,2.74772,0.0041,0.97449,0.39341,0.36824,1.14411,15.4206,2.46212,0.000192625,0.000192625,0.000192625
3,224.588,1.61055,8.3766,2.60088,0.00481,0.97449,0.36384,0.33895,1.00871,14.9391,2.32613,0.00014875,0.00014875,0.00014875
